team,scorer,goals,penalty_goals,own_goals,first_goal_date,last_goal_date
Turkiye,Orkun Kökçü,2,0,0,2023-03-25,2025-03-20
Iraq,Youssef Amyn,2,0,0,2023-11-16,2024-11-19
Paraguay,Miguel Almirón,2,0,0,2022-03-24,2024-11-19
New Zealand,Callum McCowatt,2,0,0,2024-11-15,2024-11-18
Spain,Yeremy Pino,2,0,0,2023-06-15,2024-11-18
Japan,Yukinari Sugawara,2,0,0,2023-11-21,2024-11-15
New Zealand,Matthew Garbett,2,0,0,2022-03-30,2024-11-15
Ecuador,Alan Minda,2,0,0,2024-06-26,2024-11-14
Ecuador,Gonzalo Plata,2,0,0,2024-11-14,2024-11-14
England,Ollie Watkins,2,0,0,2024-07-10,2024-11-14
Korea Republic,Bae Jun-ho,2,0,0,2024-06-06,2024-11-14
Korea Republic,Oh Se-hun,2,0,0,2024-10-15,2024-11-14
Brazil,Luiz Henrique,2,0,0,2024-10-10,2024-10-15
Colombia,Davinson Sánchez,2,0,0,2024-06-28,2024-10-15
Croatia,Borna Sosa,2,0,0,2022-09-22,2024-10-15
Spain,Álex Baena,2,0,0,2023-09-12,2024-10-15
Belgium,Loïs Openda,2,0,0,2022-06-08,2024-10-14
Sweden,Sebastian Nanasi,2,0,0,2024-10-14,2024-10-14
England,Trent Alexander-Arnold,2,0,0,2023-06-16,2024-10-13
